formulation,experiment,n,runs,collapses,collapse_rate,E_rel_mean,E_rel_std,L2_mean,L2_std,integral_mean,integral_std
sin_rayleigh,A1_s0p01,6,30,0,0.0,1.169570309330204e-07,1.011982481821484e-07,0.00010896906935647847,7.353759290833552e-05,0.9999712586402894,0.00020532218615561097
sin_rayleigh,A1_s0p01,7,30,1,0.03333333333333333,1.7775754044095005e-06,8.870010584810162e-06,0.033757618328345375,0.1824422240959947,0.9659846546679646,0.18247871637429583
sin_rayleigh,A1_s0p01,8,30,0,0.0,7.422520457945029e-08,5.2752345745918736e-08,0.00010370175118632055,4.267793311567394e-05,1.0000451306502025,0.00016281737115650527
sin_rayleigh,A1_s0p01,9,30,0,0.0,1.4357135659414488e-07,2.410509381727383e-07,0.006888117535791121,0.036040160020489403,0.987697434425354,0.06499395605424034
sin_rayleigh,A1_s0p01,10,30,0,0.0,1.0063856540178586e-07,5.186517352989573e-08,0.00016723537480605266,0.00044581268135612085,0.9998460272947948,0.0009311882974814875
sin_rayleigh,A1_s0p01,11,30,0,0.0,2.0168865177575897e-07,2.1182478406992796e-07,0.018593626465145896,0.10078586917148262,0.9731530716021856,0.14595349214772796
sin_rayleigh,A1_s0p01,12,30,3,0.1,8.731247257109674e-05,0.0002807980719382546,0.10336520551164281,0.3043642832818043,0.8936697925352142,0.3047247666257414
sin_rayleigh,A1_s0p01,13,30,2,0.06666666666666667,4.8694393744997956e-05,0.00013232313628302295,0.10265827707363417,0.2696998449632128,0.8756743152117059,0.2986765492871808
sin_rayleigh,A1_s0p01,14,30,2,0.06666666666666667,3.476458517318288e-05,0.0001328872251476598,0.06686520459456458,0.25308618152425194,0.9327855040386271,0.25356257838857565
sin_rayleigh,A1_s0p01,15,30,7,0.23333333333333334,7.513883500594918e-05,0.00015349563356078805,0.25611652211095975,0.4261560432590029,0.7290368473611466,0.4341778537649198
sin_rayleigh,A1_s0p01,16,30,13,0.43333333333333335,0.00016895750778363474,0.0002240453525614537,0.4474952899807699,0.4898142834612517,0.5372667996459582,0.4972282038250651
sin_rayleigh,A1_s0p01,17,30,15,0.5,0.00014078477761326447,0.00017512818290584458,0.4996131080962684,0.5078952516989562,0.4997830834742366,0.5083263485777245
sin_rayleigh,A1_s0p01,18,30,18,0.6,0.00010983151435221257,0.00012964541932046811,0.6082200108917838,0.47776207701531376,0.3741593055919218,0.47926015026192564
sin_rayleigh,A1_s0p01,19,30,17,0.5666666666666667,0.00010358408895644074,0.0001262027761815151,0.5662850625635872,0.5035785551038896,0.4333195694614967,0.5039902831887905
sin_rayleigh,A1_s0p01,20,30,27,0.9,0.0001445304542002807,0.00010708327006288716,0.8954281323479241,0.3016152680938831,0.09887932938363846,0.30066119118552487
sin_rayleigh,A1_s0p01,21,30,25,0.8333333333333334,5.102838112114529e-06,1.2464414186276691e-05,0.8324709200650747,0.3785473630610638,0.16659467166733888,0.37888218968868953
sin_rayleigh,A1_s0p01,22,30,26,0.8666666666666667,1.6254757903745158e-06,2.647857467296864e-06,0.8640449201512813,0.3447863903130216,0.1334090980940124,0.3456919983895711
sin_rayleigh,A1_s0p01,23,30,27,0.9,9.289056421036192e-07,2.2999918994529652e-06,0.898553289158256,0.30464344179517217,0.10002407445648284,0.305144516181928
sin_rayleigh,A1_s0p01,24,30,28,0.9333333333333333,4.722981837199511e-07,1.0229919807340276e-06,0.9322549227448363,0.25341096985289696,0.06667367760349266,0.25371254673531296
sin_rayleigh,A1_s0p01,25,30,28,0.9333333333333333,9.236727329478062e-07,2.6263696329347592e-06,0.9305733660666914,0.25273688371036757,0.06656604804144553,0.2528431641276805
sin_rayleigh,A1_s0p01,26,30,30,1.0,8.676604384943195e-07,2.176254244955753e-06,0.9991622425023748,0.0005691673149446567,6.595376828390694e-07,1.1503207278903777e-06
sin_rayleigh,A1_s0p01,27,30,30,1.0,9.238083426756549e-07,2.8911559828089924e-06,0.9992618219036179,0.0011359060427298248,1.48684009199281e-06,6.068855350977401e-06
sin_rayleigh,A1_s0p01,28,30,29,0.9666666666666667,2.5355100147269274e-07,1.92452124651611e-07,0.9661522619368969,0.18241720871133868,0.03331256970716021,0.18245947571090146
sin_rayleigh,A1_s0p01,29,30,30,1.0,4.6655170360493905e-08,0.0,0.9994499355823403,0.00034372758075015814,2.050351711811264e-07,4.0560245152876527e-07
sin_rayleigh,A1_s0p01,30,30,29,0.9666666666666667,4.9404772432848704e-08,2.0072301010572863e-08,0.9661505421297826,0.1821322558480568,0.033211999685845164,0.181908299474357
sin_rayleigh,A1_s0p05,1,30,0,0.0,6.799348788863925e-06,4.773280352965327e-06,4.15620935320837e-05,4.129977258039958e-06,0.9999982476234436,2.505625590824313e-06
sin_rayleigh,A1_s0p05,2,30,0,0.0,1.7579170132983793e-06,1.2115380043869176e-06,5.281474454521891e-05,4.804967524724193e-06,0.9999966541926066,1.025803565947999e-06
sin_rayleigh,A1_s0p05,3,30,0,0.0,2.7909918938498144e-05,0.00014715619265081412,0.01605655516080157,0.08751912716751381,0.9756805956363678,0.1328669409237812
sin_rayleigh,A1_s0p05,4,30,0,0.0,5.16605717095789e-07,3.891105225867966e-07,5.927658168836735e-05,5.900738296377656e-06,0.9999970018863678,3.12060049560232e-06
sin_rayleigh,A1_s0p05,5,30,0,0.0,5.371907267120924e-07,4.4141920978467357e-07,7.519388525397322e-05,4.386667734503629e-05,0.9999814788500468,0.00011613328671772817
sin_rayleigh,A1_s0p05,6,30,0,0.0,3.5713573988009675e-07,4.211888844067394e-07,0.00014632602172933926,0.00015826857746438776,0.9999486764272054,0.0003915764385268235
sin_rayleigh,A1_s0p05,7,30,0,0.0,2.9432026566124677e-07,4.3785368966864686e-07,0.0003347391581150016,0.0012737902804901321,0.999481072028478,0.002569055976597773
sin_rayleigh,A1_s0p05,8,30,0,0.0,1.662279841070963e-07,1.4013266759388125e-07,9.056189366055126e-05,2.784645711026065e-05,1.0000036180019378,0.00013634586978884537
sin_rayleigh,A1_s0p05,9,30,0,0.0,1.4919299990602707e-07,1.0888960071552524e-07,8.762845098090256e-05,4.121704544772812e-05,1.0000163157780966,0.00014818260587140574
sin_rayleigh,A1_s0p05,10,30,2,0.06666666666666667,1.8455393097614056e-05,0.00010018789413219017,0.0721131084771188,0.253677794427893,0.9233750502294124,0.2561842403820794
sin_rayleigh,A1_s0p05,11,30,1,0.03333333333333333,3.675453008475643e-07,5.673162601449375e-07,0.02221793851203858,0.11449050452114752,0.968845588962237,0.15721852445660142
sin_rayleigh,A1_s0p05,12,30,1,0.03333333333333333,1.604675173991215e-06,7.89150387069185e-06,0.040121408048563394,0.18470976775597298,0.9545880648379542,0.19208418421957602
sin_rayleigh,A1_s0p05,13,30,2,0.06666666666666667,3.5198311309093606e-05,0.00013345252761913468,0.06685111589190139,0.25353963431551696,0.9331005157521325,0.2536466893836156
sin_rayleigh,A1_s0p05,14,30,4,0.13333333333333333,1.9537036133730986e-05,6.978602606565906e-05,0.11920938012740405,0.31506578106553007,0.8718782524902744,0.3297003207906283
sin_rayleigh,A1_s0p05,15,30,7,0.23333333333333334,3.39666980592849e-05,9.443345429029425e-05,0.22608116032093636,0.414952071870947,0.7654964769782441,0.4244206394519645
sin_rayleigh,A1_s0p05,16,30,11,0.36666666666666664,3.735882016253759e-05,8.761689182834197e-05,0.37028776963762794,0.4790696070883688,0.6184579788034252,0.48489672858727473
sin_rayleigh,A1_s0p05,17,30,21,0.7,5.6454882384888056e-05,8.679204141470319e-05,0.6839905465047664,0.4387429041259985,0.28595697789368546,0.4415202811925516
sin_rayleigh,A1_s0p05,18,30,23,0.7666666666666667,6.373729502247886e-05,8.720224087716623e-05,0.7544207277711465,0.42646841631448246,0.23612464304693453,0.42624622726104544
sin_rayleigh,A1_s0p05,19,30,20,0.6666666666666666,2.608301405118668e-05,4.6288932284088444e-05,0.6669426599605429,0.4661079950373203,0.3209809350932807,0.46164909076714533
